	RCC4-EV	RCC4-VHL
GOLGA6L3	2.63939534831591	1.07203592425503
GOLGA6L4	16.5490547384897	6.78200750218473
GOLGA6L5P	75.5948944928035	70.1378803059498
GOLGA6L6	0	0.319241858228226
GOLGA6L7	0	0
GOLGA6L9	59.0167475043291	58.0846181726692
GOLGA7	1059.68247466402	1045.51468437966
GOLGA7B	53.0257390152946	20.2181999799506
GOLGA8A	137.105343667429	98.0678361048223
GOLGA8B	53.3814702158404	266.938260146857
GOLGA8CP	0	0
GOLGA8DP	0	0
GOLGA8EP	0	0
GOLGA8F	4.03615262071906	3.65876974166646
GOLGA8G	0.41029369602313	0.345256134180798
GOLGA8H	33.6482086725962	13.6119651276637
GOLGA8IP	11.5555695293913	9.0326140045958
GOLGA8J	2.17116894942703	3.81178704688492
GOLGA8K	37.8331733816194	17.2534682510056
GOLGA8M	3.11044962236975	3.13629254368862
GOLGA8N	32.3675879720363	19.3589474923333
GOLGA8O	14.5065347400604	7.38416652269569
GOLGA8Q	0	8.51610198491331
GOLGA8R	18.6096847593795	4.33462634833756
GOLGA8S	2.62440373614002	0.323091589907654
GOLGA8T	2.66891371647619	7.4637530548407
GOLGA8UP	0	0
GOLGA8VP	0	0
GOLGB1	256.542278256243	198.87586166806
GOLIM4	549.543866789134	741.278451321284
GOLM1	1333.03137672686	1359.24239277751
GOLPH3	573.401661736506	866.231174480557
GOLPH3L	406.248904824852	545.838722932122
GOLT1A	6.04851507372473	12.2018389064134
GOLT1B	633.098493849001	692.96599585529
GON4L	222.288245752074	397.187165902755
GON7	266.803881838577	154.547935664508
GOPC	306.296436871789	277.907975277
GORAB	127.808161730395	167.306441960151
GORAB-AS1	0.637027303427499	0
GORASP1	390.885368957745	288.088552587092
GORASP2	3257.53970901946	2827.50373610623
GOSR1	608.508317971919	484.587243059261
GOSR2	578.205291929393	384.198418971373
GOT1	446.040788507375	764.285877193368
GOT1L1	0	0
GOT2	1357.82521772284	1675.82130393592
GOT2P1	0	0
GOT2P2	0	0
GOT2P3	0	8.7885181464269
GOT2P5	0	0
GP1BA	0	0
GP1BB	0	0
GP2	0	0
GP5	0	0
GP6	0.596352386671205	3.54952884074328
GP9	0	0
GPA33	0.511458024698426	0
GPAA1	712.121741492136	860.115704185087
GPAA1P1	0	0
GPAA1P2	0	0
GPALPP1	257.169737269729	246.496604206801
GPAM	86.7894257134627	63.3500982062459
GPANK1	391.142085789501	349.640368705183
GPAT2	0	0
GPAT2P1	0	0
GPAT2P2	0	0
GPAT3	29.6507940678355	97.5858382637113
GPAT4	1583.71451070039	1234.82764103332
GPATCH1	116.358463198618	94.7374942147974
GPATCH11	158.330348098206	166.719091065951
GPATCH2	104.601978949459	156.322318923327
GPATCH2L	174.197613755829	126.1078141858
GPATCH3	137.189831280234	97.9630738521401
GPATCH4	1096.19249300356	1913.29979733519
GPATCH8	481.79870826708	568.695704339467
GPBAR1	1.32768738994937	2.02471110837016
GPBP1	491.175090077741	558.353076195364
GPBP1L1	704.531995715492	1073.91758543277
GPC1	147.013559699182	487.665999266612
GPC2	0	0
GPC3	0	0
GPC3-AS1	0	0
GPC4	906.187115182617	1366.22531053398
GPC5	0	0
GPC5-AS1	0	0
GPC5-AS2	0	0
GPC5-IT1	0	0
GPC6	281.588342474131	762.525406331212
GPC6-AS1	0	0
GPC6-AS2	0	0
GPCPD1	48.8264993473908	60.9723171518704
GPD1	3.93562746930708	2.25813444307133
GPD1L	74.3668412798991	84.8217860674805
GPD2	580.124625037074	399.786859212948
GPER1	2.98695282749445	17.9433706608834
GPHA2	0	0
GPHB5	0	0
GPHN	202.820242773105	51.5320889831181
GPI	5430.26726314956	3481.55574841621
GPIHBP1	1.16580122125932	1.76454929076682
GPKOW	355.892796179329	247.652533788744
GPLD1	6.71068334950921	5.63587377213953
GPM6A	0	0
GPM6B	0	0
GPM6BP1	0	0
GPM6BP3	0	0
GPN1	981.697618907655	1440.19041492968
GPN2	324.043774657919	188.184489761571
GPN3	241.242098414236	334.7575728456
GPN3P1	0	0
GPNMB	1.91447148667886	6.90556101940123
GPR1	8.23432699318402	0
GPR1-AS	0.495614176171451	0
GPR101	0	0
GPR107	308.074395590231	461.14904745871
GPR108	1028.11612444506	1128.97995459824
GPR119	0	0
GPR12	0	0
GPR132	4.04583712470865	4.92647494885559
GPR135	15.8778411359789	11.201366063625
GPR137	501.633250353047	608.161609812678
GPR137B	411.174404815943	816.987846271247
GPR137C	10.4901578764881	13.9330365613436
GPR139	0	0
GPR141	0	0
GPR141BP	0	0
GPR142	0	0
GPR143	0	0
GPR143P	0	0
GPR146	116.368554451775	16.1700546544109
GPR148	0	0
GPR149	0	0
GPR15	0	0
GPR150	0	0
GPR151	0	0
GPR152	0	0
GPR153	42.2450847571347	43.2404720945018
GPR155	18.178259475651	14.1574073091748
GPR156	4.14411547119505	1.21956450311866
