Name	DRR068893	DRR068894	DRR068895	DRR095105	DRR095106	DRR095107	DRR095108	DRR095109	DRR095110	DRR095111	DRR095112	DRR095113	DRR095114	DRR095115	DRR095116
KWMTBOMO15075	1.284064	2.119737	0.966150	2.708470	2.486634	1.317231	0.703156	0.625866	0.311872	21.357886	23.972416	19.629172	0.616075	0.817464	1.214676
KWMTBOMO15076	0.172520	0.102529	0.257745	0.079116	0.053505	0.026571	0.038219	0.000000	0.000000	0.179993	0.339910	0.399214	0.000000	0.000000	0.000000
KWMTBOMO15077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.231521	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15078	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.725917	1.167683	0.580255	0.000000	0.000000	0.000000
KWMTBOMO15080	0.000000	0.884138	1.609254	0.000000	0.000000	0.000000	0.000000	0.212292	0.783290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15082	0.000000	0.253889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051736	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15083	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15084	80.887630	68.360261	79.479249	4.418349	4.744469	6.774916	5.407315	6.915181	4.685288	43.818436	45.839032	48.605678	15.743600	17.621536	19.236120
KWMTBOMO15085	49.235972	47.810051	44.625901	0.504511	0.749616	1.082952	0.097067	0.454954	0.194363	0.459672	0.708908	0.234824	0.256341	0.851317	0.253006
KWMTBOMO15086	10.069894	11.838501	11.275434	0.108019	0.145884	0.000000	4.154459	5.701657	5.129039	0.123040	0.168633	0.083788	0.000000	0.091066	0.000000
KWMTBOMO15087	3.032897	2.864378	3.089634	0.134744	0.072920	0.054319	0.130299	0.104855	0.191645	1.685607	1.073760	1.590179	0.000000	0.068760	0.000000
KWMTBOMO15088	3.832742	4.388118	6.222270	0.447409	0.424732	0.346459	0.431875	0.396779	0.303886	2.291772	2.014473	1.897778	0.996316	0.487216	0.765469
KWMTBOMO15089	0.610447	0.597021	0.890603	0.077531	0.000000	0.040991	0.074834	0.078846	0.000000	0.153257	0.155443	0.343421	0.074189	0.182145	0.206015
KWMTBOMO15090	54.417184	58.895939	50.995698	6.903137	6.315102	7.914983	7.706229	10.317509	9.427602	64.684720	68.134614	64.512467	42.667681	44.383050	46.384684
KWMTBOMO15091	24.220725	23.008402	21.890900	6.834783	7.244151	4.905696	7.947361	8.649092	9.139984	54.725526	48.862668	55.997307	25.464800	26.720950	24.849879
KWMTBOMO15092	7.869977	8.848442	8.001566	0.244713	0.000000	0.000000	0.000000	0.155527	0.155000	0.279295	0.381214	0.189410	0.000000	0.000000	0.000000
KWMTBOMO15093	6.287528	5.864145	5.556424	1.999865	1.280923	1.166215	0.558798	0.646917	0.984338	7.844437	8.426481	6.862614	0.268692	0.312447	0.221091
KWMTBOMO15094	36.318452	35.973541	34.933422	2.296802	2.532444	1.676834	3.786343	2.263358	1.724994	10.480980	12.367693	9.541098	13.110819	11.310783	14.997132
KWMTBOMO15095	17.153703	13.413784	17.816990	1.033547	3.464514	2.063762	5.846683	8.383127	7.709614	11.871984	14.453593	20.759337	51.323139	62.970872	49.207652
KWMTBOMO15096	5.900075	3.718936	7.254312	1.438971	0.692615	0.550330	2.354897	2.884561	1.437443	7.504150	8.491723	7.005563	17.560393	17.994811	15.788856
KWMTBOMO15097	10.168518	12.369056	10.465274	0.000000	0.069154	0.034342	0.098739	0.132363	0.164941	0.349126	0.679049	0.595431	0.000000	0.000000	0.000000
KWMTBOMO15098	9.909781	10.840604	12.845824	1.460232	1.481095	1.838812	1.366132	1.506596	1.060194	13.445754	12.011861	11.724607	0.407992	0.580970	0.268587
KWMTBOMO15099	30.734520	33.110081	25.928610	0.728295	0.736528	0.487687	1.218766	1.978527	1.275981	5.813661	5.394696	5.925093	4.586011	4.718295	5.880219
KWMTBOMO15100	1.358796	0.526652	0.530104	0.135526	0.045799	0.181952	0.000000	0.218898	0.087286	1.156879	1.640434	1.156920	0.345442	0.114755	0.170524
KWMTBOMO15101	1.189417	0.392707	0.889037	0.227337	0.384215	0.305287	0.000000	0.147022	0.000000	4.721102	4.438808	4.940503	0.435069	0.289084	0.334114
KWMTBOMO15102	0.000000	0.053431	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039868	0.000000	0.096633	0.000000	0.078893	0.000000	0.000000
KWMTBOMO15103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15105	0.101389	0.200849	0.000000	0.116626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.775486	0.000000
KWMTBOMO15106	0.656410	1.300035	0.996285	0.000000	0.000000	0.000000	0.000000	0.468915	0.000000	0.000000	1.167683	0.580255	0.000000	0.605636	0.599716
KWMTBOMO15107	13.336645	13.313232	13.265761	35.054031	36.314426	35.967855	0.663956	0.754945	0.617542	90.261650	93.236792	91.336379	0.038198	0.152320	0.075449
KWMTBOMO15108	19.495210	19.057649	19.867821	12.516351	12.941297	13.703883	2.210079	2.237877	2.325218	0.166229	0.152159	0.113409	0.621861	0.537197	0.777800
KWMTBOMO15109	161.794207	172.942900	163.848297	0.000000	0.000000	0.124763	0.000000	0.000000	0.118665	0.000000	0.000000	0.144366	0.000000	0.155689	0.154229
KWMTBOMO15110	0.219175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.159721	0.052743
KWMTBOMO15111	51.358144	52.559541	57.551531	11.114930	10.717912	10.207712	18.916130	13.468428	11.624145	71.615596	70.141051	74.258012	16.679763	14.697222	13.301176
KWMTBOMO15112	6.727586	5.618193	6.979457	1.758582	1.410327	1.006199	3.802863	2.924425	2.981252	3.352845	3.915700	3.238023	0.459684	0.888814	0.826285
KWMTBOMO15113	1.217580	1.846212	3.770068	0.000000	0.649244	0.000000	4.606623	2.971432	3.347031	2.184747	0.000000	0.850827	1.746499	0.777078	0.000000
KWMTBOMO15114	1914.091302	1982.553916	1884.970381	1374.952966	1448.939582	1440.427609	656.974463	669.610784	662.008003	3570.059068	3672.947774	3737.420093	3350.490318	3398.225443	3486.749342
KWMTBOMO15115	581.595120	581.981742	592.369408	0.286977	0.193062	0.383513	0.000000	0.363434	0.362173	0.000000	0.223285	1.109405	0.000000	0.474190	0.704522
KWMTBOMO15116	29.160525	24.899555	25.424845	2.889634	3.376110	5.029803	2.208912	3.198499	1.348706	11.425388	11.864381	12.386798	11.390170	9.811428	7.170065
KWMTBOMO15117	302.083485	298.531601	294.904393	7.155343	7.226130	7.531550	0.063745	0.149598	0.106528	0.375038	0.231836	0.409593	0.295189	0.140129	0.166585
KWMTBOMO15118	498.682103	528.300989	507.174907	922.759379	965.367264	994.841828	21.715151	26.064703	25.806011	72.641575	76.140065	71.135920	127.979977	155.368056	151.906946
KWMTBOMO15119	63.665860	71.652802	58.257579	5.575183	4.101638	4.413291	10.834363	12.325896	12.500826	20.995023	20.289715	19.769442	27.485600	29.560809	28.162823
KWMTBOMO15120	71.044002	74.377509	72.935530	2.690202	2.641525	2.951549	2.349167	1.808076	2.037371	10.449463	13.265451	12.708088	20.304809	17.189669	17.538665
KWMTBOMO15121	118.230956	111.784293	109.612759	18.500015	17.905971	20.007545	13.112340	15.189199	14.372363	65.713526	69.844258	69.050637	150.366125	166.339800	157.315177
KWMTBOMO15122	2.326458	1.699685	1.528651	0.563540	0.894372	0.869259	0.555297	0.690642	1.027880	2.557133	1.663574	1.710081	5.974969	6.541887	8.475380
KWMTBOMO15123	120.462282	118.851097	119.660543	32.837670	34.136769	31.297048	43.102512	44.778870	49.488294	107.291040	114.079923	119.649773	20.841213	22.948598	25.530564
KWMTBOMO15124	16.022870	15.870587	15.823373	2.214153	3.381212	2.647867	4.354028	1.861029	2.535362	27.188103	26.754580	27.931569	3.058496	2.356599	1.771046
KWMTBOMO15125	13.470357	13.180350	14.514617	6.317320	7.145086	6.886660	1.568654	1.536314	1.450923	29.113422	32.092618	31.892625	9.092096	10.121341	9.501800
KWMTBOMO15126	4.880369	3.088365	3.863953	0.000000	0.000000	0.000000	0.149203	0.099788	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO15127	23.012085	21.360469	26.429322	2.114530	2.445497	2.327694	2.171827	2.033767	2.413304	7.231902	7.895316	10.656048	15.844986	17.237338	15.694795
KWMTBOMO15128	337.279640	342.210344	332.950978	18.577725	17.132510	20.874824	13.167421	18.157303	12.303309	34.757331	51.526302	49.433539	84.458867	86.666037	100.517188
KWMTBOMO15129	112.782652	113.849775	109.424225	0.000000	0.049228	0.195577	0.000000	0.047041	0.140683	0.082918	0.227532	0.282641	0.092791	0.123294	0.061071
KWMTBOMO15130	1.424325	1.252787	1.671567	0.155962	0.000000	0.059296	0.150276	0.154900	0.124659	1.675965	1.118279	0.811227	0.099320	0.000000	0.065340
KWMTBOMO15131	1.597814	1.039551	1.363003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.395314	0.000000	0.000000	0.000000	0.284593	0.279444
KWMTBOMO15132	17.655081	14.268761	14.010909	0.163318	0.275869	0.540706	0.078662	0.259374	0.342231	2.428354	3.610955	2.825482	0.415664	0.483277	0.205183
KWMTBOMO15133	7.440588	8.331124	8.887213	2.476052	2.423353	1.992103	0.832345	0.636629	0.792803	9.451225	11.691034	10.945615	1.255219	1.979924	1.548302
KWMTBOMO15134	21.146072	23.443082	24.117624	2.004137	2.556309	2.165420	1.391402	1.361338	1.714502	14.585770	13.383585	12.954311	2.401823	2.345633	1.952061
KWMTBOMO15135	21.278035	24.753344	30.000537	9.188118	10.402105	9.672115	8.797543	9.454642	7.538840	40.401366	38.387841	36.875558	39.748631	45.490762	41.116235
